Reporting range=["Quarterly"],Select year=["2024"],Select quarter=["1"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D-Shipping Speed","Impressions: 2D-Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D-Shipping Speed","Clicks: 2D-Shipping Speed","Basket Adds: Basket Adds","Basket Adds: Price (Median)","Basket Adds: Same-Day Shipping Speed","Basket Adds: 1D-Shipping Speed","Basket Adds: 2D-Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D-Shipping Speed","Purchases: 2D-Shipping Speed","Reporting Date"
"Sister Gifts From Sister, Brother - Birthday Gifts For Sister - Mothers Day Gifts For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Sibling, Bestie, BFF, Women - 12 Oz Tumbler","B07W5KH9PJ","Home","35",,,"0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-03-31"
"Mothers Day Gifts for Mum - Mum Gifts from Daughter, Son, Kids, Husband - Funny Gifts for Mum, Her, Women, Wife - Best Birthday Presents for Mum, Mother, New Mum, Pregnant Mum - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","1322848",,"14.98","191736","987035","97207","9701","0.73","14.98","1362","7261","738","2324","14.98","347","1732","163","475","7611.48","4.9",,"14.98","79","351","28","2024-03-31"
"30th Birthday Gifts for Women - 1991 30th Birthday Decorations For Her - Mothers Day Gifts - Talk Thirty To Me Dirty 30 Gifts for Her, Best Friend, Wife, Daughter, Girlfriend - 12 oz Wine Tumbler","B085DT7SXL","Home","44",,"66.56","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-03-31"
"NEWELEVEN Dad Gifts from Daughter, Son, Kids, Wife - Birthday Gift for Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B088GX79HT","Kitchen","20367",,"18.99","72","6700","4322","140","0.69","18.99","0","40","31","25","18.99","0","11","3","1","18.99","0.71",,"18.99","0","1","0","2024-03-31"
"40th Birthday Gifts For Women - 1982 40th Birthday Decorations For Women - Gifts For Women Turning 40 - 40 Year Old Birthday Gifts For Mom, Wife, Sisters - Wine Tumbler","B089QFK8NV","Home","175",,"36.97","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-03-31"
"50th Birthday Gifts For Women - 1971 50th Birthday Decorations For Women - Gifts For Women Turning 50 - Mothers Day Gifts 50 Year Old Gifts For Women, Mom, Wife - 12 oz Wine Tumbler","B089QFYLFB","Home","26",,"69.18","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-03-31"
"Aprons For Men With Pockets - Christmas Gifts - Gifts For Men, Dad - Birthday Gifts for Men, Dad, Husband, Boyfriend, Him - Grill Cooking BBQ Kitchen Chef Apron","B08CDFWN1Q","Apparel","37",,"56.79","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-03-31"
"NewEleven 21st Birthday Gifts For Women - 2002 21st Birthday Decorations For Women - Gifts For Women Turning 21 - 21 Year Old Birthday Gifts For Her, Daughter, Sisters, Friends - 12 oz Wine Tumbler","B08R8NVFHH","Kitchen","50",,"34.71","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-03-31"
"Gifts For Grandma - Grandma Birthday Gifts - Mothers Day Gifts For Grandma, Grandmother, First Time Grandma, Nana, Gigi, Mimi, Grammy From Grandchildren, Granddaughter, Grandson - 12 Oz Wine Tumbler","B08R8P65YM","Kitchen","133",,"39.76","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-03-31"
"NewEleven Birthday Gifts for Auntie - Auntie Birthday Gifts - Aunt Gifts for Auntie from Niece, Nephew - Best Auntie Gifts for Auntie, Special Auntie, Auntie Mug, Aunty Gift - 12 Oz Wine Tumbler","B08R8P896F","Kitchen","43801",,"14.98","314","22141","15320","389","0.89","14.98","5","198","143","117","14.98","2","64","41","26","389.48","6.68",,"14.98","0","13","12","2024-03-31"
"NewEleven 60th Birthday Gifts for Women - 1964 60th Birthday Decorations for Women - Birthday Gifts for 60 Year Old Woman - 60 Years Old Gifts Ideas for Women Turning 60-12 oz Wine Tumbler","B08R8PXYL6","Kitchen","40138",,"9.98","4432","26881","6499","558","1.39","7.98","68","377","85","183","7.98","25","121","24","27","261.4","4.84",,"7.98","3","20","2","2024-03-31"
"40th Birthday Gifts For Men, Women - 1983 40th Birthday Decorations For Men, Women - Gifts for Women Turning 40 - 40 Year Old Gifts For Men, Him, Her, Husband, Wife - 20 Oz Tumbler","B08R8R2LQF","Kitchen","118712",,"19.98","11814","69337","12932","918","0.77","19.98","76","465","105","257","19.98","24","175","32","53","1058.94","5.77",,"19.98","4","38","7","2024-03-31"
"NEWELEVEN Bridal Shower Gifts - Wedding Gifts for Bride - Bride to Be, Bachelorette Gifts, Engagement Gifts for Women - Bride Gifts for Bride to Be, Fiancee, Wifey, Her - 12 Oz Tumbler","B08R8R7T36","Kitchen","213142",,"18.98","28959","143502","22897","1554","0.73","18.98","174","1046","200","446","18.98","47","291","54","62","1176.76","3.99",,"18.98","5","41","10","2024-03-31"
"Retirement Gifts For Women 2021 - Retired Gifts For Women - Retirement Party Decorations - Fun Retirement Gifts For Women, Retired People, Colleagues, Friends - 12 Oz Wine Tumbler","B08R8SSBWV","Kitchen","44",,"30.89","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2024-03-31"
