Reporting Range=["Monthly"],Select year=["2025"],Select month=["May"],Brand=["NEWELEVEN"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same-Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B092HNBJT6","Kitchen","12",,"54.2","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Retirement Gifts For Woman 2025 - Retired Gift For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S16WV3","Kitchen","7",,"34.44","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S1818R","Kitchen","8",,"34.44","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Gifts For Him, Men - Gift For Men, Women, Dad, Husband, Friend - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler","B0978WGWY4","Kitchen","2025",,"19.98","67","1159","422","13","0.64","19.98","1","5","1","5","19.98","1","3","1","2","39.96","15.38",,"19.98","1","0","1","2025-05-31"
"NewEleven Gifts for Brother - Brother Gifts from Sister, Brother - Big Brother Gifts, Little Brother Gifts - Birthday Gifts for Brothers from Sisters, Brother, Siblings - 20 Oz Tumbler","B09792XF8F","Kitchen","22736",,"22.98","853","14358","4259","109","0.48","22.98","3","67","26","50","22.98","1","32","12","10","229.8","9.17",,"22.98","1","3","4","2025-05-31"
"NewEleven Gifts for Mom - Gifts for Mom from Daughter, Son, Kids - Unique Birthday Gifts for Mom, Mother, Wife, New Mom, Bonus Mom, Pregnant Mom - Funny Gifts Ideas for Mom - 20 Oz Tumbler","B097B9H21P","Kitchen","67829",,"24.98","6568","44791","10710","997","1.47","24.98","94","651","168","190","24.98","17","132","29","62","1631.66","6.22",,"24.98","7","44","9","2025-05-31"
"NewEleven Gifts for Dad from Daughter, Son, Kids - Birthday Gift for Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B097B9SY89","Kitchen","27286",,"19.98","771","14997","5775","491","1.8","19.98","9","272","112","92","19.98","1","46","23","21","439.56","4.28",,"19.98","0","7","8","2025-05-31"
"NewEleven Uncle Gifts - Gifts for Uncle from Niece, Nephew - Uncle Birthday Gifts - Best Gifts for New Uncle, Funcle, Uncle Announcement - 20 Oz Tumbler","B097H6PJCN","Kitchen","290",,"48.91","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"Replacement Lid For 20 Oz NewEleven Tumbler - Pack of 2 lids","B0995JRMHP","Home","11",,"34.99","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Bride To Be Gifts For Her - Wedding Gifts For Bride - Bridal Shower Gift, Bachelorette Gifts For Bride - Engagement Gifts For Women - Bridal Gifts For Bride To Be, Fiancee - 20 Oz Tumbler","B09B9PKM9M","Kitchen","229",,"29.98","6","100","57","2","0.87","22.99","0","2","0","1","22.99","0","1","0","1","22.99","50.0",,"22.99","0","1","0","2025-05-31"
