Reporting range=["Quarterly"],Select year=["2025"],Select quarter=["2"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D-Shipping Speed","Impressions: 2D-Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D-Shipping Speed","Clicks: 2D-Shipping Speed","Basket Adds: Basket Adds","Basket Adds: Price (Median)","Basket Adds: Same-Day Shipping Speed","Basket Adds: 1D-Shipping Speed","Basket Adds: 2D-Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D-Shipping Speed","Purchases: 2D-Shipping Speed","Reporting Date"
"Neweleven Mothers Day Gifts for Mum - Mum Birthday Present from Daughter, Son, Kids, Husband - Best Birthday Presents for Wife, Mother, New Mummy, Wife - 12 Oz Tumbler","B07Y7ZQ265","Kitchen","51442",,"8.99","7847","38627","3362","450","0.87","8.99","69","341","25","169","8.99","28","119","13","69","656.15","15.33",,"8.99","14","45","6","2025-06-30"
"NEWELEVEN Fathers Day Gift from Daughter, Son, Kids, Wife - Birthday Gift for New Daddy, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B088GX79HT","Kitchen","73852",,"15.98","3241","57130","10223","577","0.78","15.98","26","457","82","241","15.98","9","195","34","81","1206.38","14.04",,"15.98","4","67","9","2025-06-30"
"50th Birthday Gifts For Women - 1971 50th Birthday Decorations For Women - Gifts For Women Turning 50 - Mothers Day Gifts 50 Year Old Gifts For Women, Mom, Wife - 12 oz Wine Tumbler","B089QFYLFB","Home","24",,"50.15","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven 60th Birthday Wine Tumbler - 12 oz Pink Insulated Stainless Steel Tumbler with Lid, Straw, Straw Cleaning Brush - Perfect for Women, Mom, Wife, Sisters, Friends - 1 Count (Pack of 1)","B08R8PXYL6","Kitchen","159",,"50.15","0","0","0","7","4.4","50.15","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
"40th Birthday Gifts for Men, Women - 1985 40th Birthday Decorations for Men, Women - Gift for Woman Turning 40-40 Year Old Gifts for Him, Her, Husband, Wife - 20 Oz Tumbler","B08R8R2LQF","Kitchen","154606",,"17.98","19316","117663","12409","1170","0.76","17.98","165","863","104","509","17.98","81","365","40","175","3146.5","14.96",,"17.98","31","127","13","2025-06-30"
"NEWELEVEN Bridal Shower Gifts - Wedding Presen for Her - Bride to Be, Bachelorette Gift, Engagement Gift for Women - Keepsake for Bride to Be, Fiancee, Wifey, Her - 12 Oz Tumbler","B08R8R7T36","Kitchen","188693",,"15.98","19263","140782","22698","1256","0.67","15.98","120","945","148","558","15.98","54","413","73","167","2689.64","13.3",,"15.98","21","125","16","2025-06-30"
"NEWELEVEN Fathers Day Gift from Daughter, Son, Kids, Wife - Birthday Gifts for New Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B08ZKZ1FJK","Kitchen","39200",,"15.98","6429","28760","2670","277","0.71","15.98","40","207","22","99","15.98","16","75","6","37","503.3","13.36",,"11.98","6","28","3","2025-06-30"
"NewEleven Retirement Gifts for Women 2024 - Birthday Gifts for Women Best Friend - Friendship Gifts - Colleagues Leaving Gifts, Farewell Gifts, Goodbye Gift for Women - 12Oz Wine Tumbler","B08ZRWW1W4","Kitchen","113",,,"0","0","0","2","1.77",,"0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
"NewEleven Birthday Gifts for Brother - Funny Present from Sister - Unique Keepsake for Big Brother - Presents for Brothers from Sisters - 20Oz Tumbler","B09792XF8F","Kitchen","41135",,"17.98","2936","31097","5691","329","0.8","9.99","28","255","33","147","9.99","14","110","18","53","709.25","16.11",,"9.99","5","38","9","2025-06-30"
"NewEleven Birthday Gifts for Best Uncle - Funny Present from Niece, Nephew - Unique Keepsake for New Funcle or Uncle Announcement - 20 Oz Tumbler","B097H6PJCN","Kitchen","14791",,"17.98","1467","11166","1714","139","0.94","9.99","25","97","14","60","9.99","10","41","7","32","383.6","23.02",,"9.99","6","21","4","2025-06-30"
"NEWELEVEN Bride to Be Gifts for Her - Wedding Present for Bride - Bridal Shower Gift, Bachelorette Surprise for Fiancee - Engagement Gift for Women - Bridal Gifts for Brides to Be - 20 Oz Tumbler","B09B9PKM9M","Kitchen","137270",,"16.98","14736","99487","18585","1184","0.86","16.98","124","859","153","491","16.98","45","360","63","152","2590.94","12.84",,"15.98","14","120","13","2025-06-30"
"NewEleven Leaving Gifts for Colleagues Women Men - Good Luck, New Job Gift, Good Luck, New Job Keepsake - Funny Sorry You’re Off Present for Colleague, Boss, Friends - 20 Oz Tumbler","B09XDFF8FF","Kitchen","101949",,"16.98","11149","79437","8381","1747","1.71","16.98","191","1332","179","362","16.98","44","271","37","110","1947.76","6.3",,"16.98","18","80","8","2025-06-30"
"NEWELEVEN Leaving Gifts for Colleagues Women Men - Good Luck, New Job Gifts Leaving Presents for Colleagues - Funny Present for Coworkers, Colleague, Boss - 20 Oz Tumbler","B0B3J9CRB6","Kitchen","118425",,"16.98","6927","94955","13141","1507","1.27","16.98","90","1206","166","413","16.98","25","337","44","138","2314.31","9.16",,"16.98","7","115","14","2025-06-30"
"NEWELEVEN Gifts For Women, Her - Daily Reminder, Mental Health Gifts - Inspirational Gifts For Women, Best Friend, Sister, Mom, Wife, Aunt, Her, Daughter, Coworker - 16 Oz Coffee Glass","B0BYDBPSBQ","Kitchen","1",,"19.18","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"40th Birthday Gifts for Men Women - Vintage 1983 40th Birthday Decorations for Men Women - 40 Year Old Gifts for Men, Black, One size","B0C6DL59L9","Apparel","1",,"30.48","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"Gifts For Mom From Daughter, Son, Kids - Birthday Gifts For Mom - Best Bday Presents For Mom, Mother, Wife, New Mom, Bonus Mom, Mother In Law, Mama From Daughter, Son, Husband - 16 Oz Coffee Glass","B0C9BZRC4K","Kitchen","11",,,"0","0","0","1","9.09",,"0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
"Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Work Bestie, Women, Friends - 16 Oz Coffee Glass","B0C9C2TTSR","Kitchen","1",,"18.86","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven Fathers Day Gift from Daughter, Son, Kids, Wife - Birthday Gifts for New Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B0CDLQGPKC","Kitchen","56037",,"14.99","2986","43735","7557","284","0.51","14.99","12","228","37","114","14.99","5","92","14","39","591.6","13.73",,"14.99","0","34","5","2025-06-30"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job Gifts, Goodbye Present, Good Luck Gift For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler Navy","B0CDLSGXDY","Kitchen","41",,"24.22","0","0","0","2","4.88","23.77","0","0","0","1","23.89","0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
