Reporting Range=["Monthly"],Select year=["2025"],Select month=["June"],Brand=["NEWELEVEN"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same-Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Fathers Day Gift For Grandpa From Granddaughter, Grandson - Birthday Present Ideas For Grandfather, New Grampa, Promoted To Grandfather, Grandchildren, Grandkid - 20 Oz Tumbler","B094CFGN42","Kitchen","4",,,"0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven Retirement Gifts For Woman 2025 - Retired Gift For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S16WV3","Kitchen","6",,"38.13","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S1818R","Kitchen","16",,"44.63","0","0","0","1","6.25","44.86","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
"NewEleven Gifts For Him, Men - Gift For Men, Women, Dad, Husband, Friend - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler","B0978WGWY4","Kitchen","1658",,"19.98","49","877","393","14","0.84","19.98","0","6","3","4","19.98","0","3","1","1","19.98","7.14",,"19.98","0","0","1","2025-06-30"
"NewEleven Gifts for Brother - Brother Gifts from Sister, Brother - Big Brother Gifts, Little Brother Gifts - Birthday Gifts for Brothers from Sisters, Brother, Siblings - 20 Oz Tumbler","B09792XF8F","Kitchen","35448",,"22.98","2262","23184","6593","178","0.5","22.98","16","106","42","61","22.98","6","35","15","15","339.5","8.43",,"22.98","2","6","6","2025-06-30"
"NewEleven Gifts for Mom - Gifts for Mom from Daughter, Son, Kids - Unique Birthday Gifts for Mom, Mother, Wife, New Mom, Bonus Mom, Pregnant Mom - Funny Gifts Ideas for Mom - 20 Oz Tumbler","B097B9H21P","Kitchen","20448",,"24.98","1106","13203","3939","272","1.33","24.98","19","181","39","48","24.98","5","27","8","19","391.62","6.99",,"24.98","2","11","4","2025-06-30"
"NewEleven Gifts for Dad from Daughter, Son, Kids - Birthday Gift for Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B097B9SY89","Kitchen","70797",,"19.98","2205","37119","15517","1263","1.78","19.98","43","669","283","257","19.98","7","143","52","87","1914.08","6.89",,"19.98","3","53","17","2025-06-30"
"NewEleven Uncle Gifts - Gifts for Uncle from Niece, Nephew - Uncle Birthday Gifts - Best Gifts for New Uncle, Funcle, Uncle Announcement - 20 Oz Tumbler","B097H6PJCN","Kitchen","256",,"47.21","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven Bride To Be Gifts For Her - Wedding Gifts For Bride - Bridal Shower Gift, Bachelorette Gifts For Bride - Engagement Gifts For Women - Bridal Gifts For Bride To Be, Fiancee - 20 Oz Tumbler","B09B9PKM9M","Kitchen","43",,"22.99","1","22","11","2","4.65","22.99","0","1","0","1","22.99","0","0","0","1","22.99","50.0",,"22.99","0","0","0","2025-06-30"
"Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B09XDFF8FF","Kitchen","46923",,"24.98","2751","29630","9209","674","1.44","24.98","40","435","129","131","24.98","7","88","25","46","1149.08","6.82",,"24.98","2","34","8","2025-06-30"
