item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
NewEleven Gifts For Friends, Bestie – Work Bestie Presents For Women Friends - Appreciation Gifts For Coworkers, Unique Present Ideas For Coworker Leaving, Farewell Party – 16 Oz Coffee Glass	Coffee Cup	0710A8C7VVW	2D-H3QH-UR6F	14.98		2023-07-09 22:16:34 PDT		y	3			11				B0CBJQZCFY						850050994671				AMAZON_NA	Migrated Template	Active
NewEleven Gifts For Mom, Wife - Gifts For Mom From Daughter, Son, Kids - Unique Birthday Present Ideas For Mother, Wife, New Mama From Daughter, Son, Husband - 20 Oz Tumbler	Tumbler	0822AI2DDDI	2F-5232-03M8	19.98		2023-08-21 21:27:09 PDT		y	3			11				B0CG8NHNWF						850050994848				AMAZON_NA	Migrated Template	Active
NewEleven Thank You Gifts for Women, Nurses, Teacher, Coworker, Friends - Gift for Women, Appreciation Present for Coworkers, Farewell, BFF, Woman, Men - Glass Christmas Ornaments	Ornament	1012BXU9VVD	2F-J6P4-R5IG	5.99		2024-10-12 03:59:42 PDT		y	3			11				B0DJY7689G						850062760783				AMAZON_NA	Migrated Template	Active
NewEleven Gifts for Her - Inspirational Ornaments - Thank You Gift, Appreciation Present for Men, Nurse, Teacher, Boss, Coworker - Christmas Tree Decoration Glass Ornament	Ornament	1103BM67QXD	2G-KSK7-6N0O	7.99		2024-11-03 07:31:17 PST		y	3			11				B0DLV9V243						810181270273				AMAZON_NA	Migrated Template	Active
NewEleven Gifts For Dog Lovers, Dogs Owners, Dog Moms, Fur Mama - Dog Mom Gifts For Women - Cute Funny Gift For Women, Best Friend, Girlfriend - 16 Oz Coffee Glass	Coffee cup	1230ZEBKGPZ	2R-X9LF-IOEW	9.99		2022-12-29 21:14:06 PST		y	3			11				B0BRCG7S9H						850041250939				AMAZON_NA	Migrated Template	Active
NewEleven Baby Pregnancy Announcement Ornament for Grandparents - First Time Grandparents Gifts - Promoted to Grandma Grandpa Gift- Pregnancy Announcement Decorations - Glass Christmas Ornament	Ornament	1001B5GP3FU	30-T498-37E5	5.99		2024-09-30 21:21:25 PDT		y	3			11				B0DJBGMLS2						850062760691				AMAZON_NA	Migrated Template	Active
NEWELEVEN Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler	Tumbler	0308YF25UWZ	31-PNFY-F78S	19.98		2021-03-08 00:45:07 PST		y	3			11				B08Y8RZRHG						707785063168				AMAZON_NA	Migrated Template	Active
NewEleven Gifts For Men, Women - Funny Gag Gifts Ideas For Dad, Mom, Grandpa, Grandma, Husband, Wife, Uncle, Him - 40th 50th 60th 70th 80th Birthday Gifts For Men Women – 20 Oz Tumbler	Tumbler	0803A3VV7OS	38-P9JP-4W92	15.98		2023-08-03 02:49:17 PDT		y	3			11				B0CDLQGPKC						850050994749				AMAZON_NA	Migrated Template	Active
NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass	Wine Glass	0917B3II096	3E-J0TV-6W9S	22.98		2024-09-16 20:26:17 PDT		y	3			11				B0DH88L44J						850062760530				AMAZON_NA	Migrated Template	Active
NewEleven Birthday Gifts For Men, Women - Funny Gag Gifts Ideas For Dad, Mom, Grandpa, Grandma, Husband, Wife, Uncle, Him - 40th 50th 60th 70th 80th Birthday Gifts For Men Women – 20 Oz Tumbler	Tumbler	1027AGUJLN2	3N-MM56-1WA4	15.99		2023-10-27 09:21:12 PDT		y	3			11				B0CLYRNFBT						850057187175				AMAZON_NA	Migrated Template	Active
