item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
NewEleven Sympathy Gifts for Loss of Loved One, Memorial Ornament - in Loving Memory Ornament - Bereavement Gift Idea, Memorial Gifts, Remembrance Gifts for Men, Women - Ceramic Christmas Ornaments		1025BYOAL4Y	C8-4M65-1A1C	9.51		2024-10-25 15:07:25 PDT		y	1			11				B0DK16ZQYT						B0DK16ZQYT				AMAZON_NA	Migrated Template	Inactive
NewEleven 30th Birthday Gifts For Women - 30s Birthday Decorations For Women - 30 Year Old Gifts For Her, Women, Sister, Mom, Daughter, Best Friend - In My Thirties Era Glass - 16 Oz Coffee Glass		0509B56W9K7	C9-FSMU-8JV2	23.1		2024-05-08 23:19:38 PDT		y	1			11				B0CYPT8HM7						B0CYPT8HM7				AMAZON_NA	Migrated Template	Inactive
NewEleven Personalized Monogrammed Gifts For Women – Customized Birthday Gifts For Women, Friends, Girls - Initial Gifts For Her - 16 Oz Coffee Glass		0209BP6YVDZ	CB-006Q-I5IR	28.78		2024-02-09 01:53:05 PST		y	1			11				B0CQK3CW58						B0CQK3CW58				AMAZON_NA	Migrated Template	Inactive
NewEleven Pet First Christmas Ornaments 2024, My First Christmas Ornament Gifts for Puppy Dog Cat Pet Lovers, Cat Dog Picture Frame Ornaments for Christmas Tree, Photo Christmas Ornaments Decorations		1025BYHSBOA	CE-YODW-3F5U	8.15		2024-10-25 16:25:16 PDT		y	1			11				B0DJY79JYZ						B0DJY79JYZ				AMAZON_NA	Migrated Template	Inactive
NewEleven Daughter Gifts from Mom Dad, Mother Daughter Gift, Daughter Gift Ideas for Mother's Day, Birthday, Graduation, Thanksgiving, Decorative Glass Scripture Jar with 92 Bible Verse		0320F5CMVAN	CG-9LUS-K14G	22.75		2025-03-20 01:31:59 PDT		y	1			11				B0F13VCCMP						B0F13VCCMP				AMAZON_NA	Migrated Template	Inactive
NewEleven Boss Gifts For Men – Worlds Best Bosses Day Gifts – Cool Birthday Gifts, Farewell Gifts, Thank You Gifts For Boss, Manager, Leader, Men, Male, Chaos Coordinator - 20 Oz Tumbler		1108AD4NNKB	CG-O0GE-M5J8	21.99		2023-11-08 14:08:03 PST		y	1			11				B0CFQ2N5DF						B0CFQ2N5DF				AMAZON_NA	Migrated Template	Inactive
Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job Gifts, Goodbye Gifts, Good Luck Gifts For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler Navy		0831A79FXM5	CO-C7X6-C1NV	27.06		2023-08-30 19:59:43 PDT		y	1			11				B0CDLPSMGF						B0CDLPSMGF				AMAZON_NA	Migrated Template	Inactive
Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Work Bestie, Women, Friends - 16 Oz Coffee Glass		0413B4U5EYR	CP-QAQK-8AL8	24.53		2024-04-13 10:56:13 PDT		y	1			11				B0C9C2TTSR						B0C9C2TTSR				AMAZON_NA	Migrated Template	Inactive
NewEleven Personalized Monogrammed Gifts For Women – Customized Birthday Gifts For Women, Friends, Girls - Initial Gifts For Her - 16 Oz Coffee Glass		0209BP4XMEB	CR-SIFM-P1DT	13.59		2024-02-09 00:43:05 PST		y	1			11				B0CQK4V7V5						B0CQK4V7V5				AMAZON_NA	Migrated Template	Inactive
NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass		0704F5VL8SP	CU-4EWE-9UH1	31.26		2025-07-04 03:12:53 PDT		y	1			11				B0F18CMJ3L						B0F18CMJ3L				AMAZON_NA	Migrated Template	Inactive
60th Birthday Gifts For Women - Vintage 1962 60th Birthday Decorations For Women - Best 60 Year Old Gifts Ideas For Wife, Mom, Grandma, Friends - Turning 60 Presents For Female - 22 Oz Wine Glass		0720Z4PEQS4	CU-THTS-A8OY	33.86		2022-07-20 10:30:51 PDT		y	3			11				B0B4WQMS2D						850041250304				AMAZON_NA	Migrated Template	Inactive
gvds30072		0223AA92JOA	CZ-V369-AMB3	27.07		2023-02-23 12:48:22 PST		y	1			11				B0BRCJ5VYH						B0BRCJ5VYH				AMAZON_NA	Migrated Template	Inactive
NewEleven Anniversary Card for Couple, Her Him, Husband Wife, Boyfriend Girlfriend - 1 Year, 10 Year, 20th, 25th, 40th, 50th, 60th Wedding Anniversary Greeting Card		0615FDECTF6	D0-B6A7-C5GP	13.57		2025-06-14 21:19:30 PDT		y	1			11				B0FC5SSDXK						B0FC5SSDXK				AMAZON_NA	Migrated Template	Inactive
Birthday Gifts for Women - Best Friend Giftss for Women - Mom Birthday Gifts, Sisters Gifts from Sister - Best Friend, Friendship Gifts, Candles Gifts for Women, Mom, BFF, Wife - Lavender Candle 8oz		0524ZUT7N1I	D7-5PSE-U9L9	27.98		2022-05-24 02:22:26 PDT		y	3			11				B0B1T794ZP						850041250182				AMAZON_NA	Migrated Template	Inactive
NewEleven 60th Birthday Gifts for Women Men - 60th Birthday Gifts for Her, Him, Mom, Dad, Wife, Husband - Retro Trucker Hat, 1974 Black White, One Size		0328BYAV4BA	DB-YYRM-42UT	17.67		2024-03-28 10:27:00 PDT		y	1			11				B0CZDSYWNZ						B0CZDSYWNZ				AMAZON_NA	Migrated Template	Inactive
NewEleven 70th Birthday Gifts For Men Women - 1955 70th Birthday Decorations For Men Women - Gifts For Men Women Turning 70-70 Year Old Gifts For Men, Women - 20 Oz Tumbler		0917B5TYYDP	DF-AWOB-F9BG	27.18		2024-09-17 08:07:05 PDT		y	1			11				B0DHCGTL3R						B0DHCGTL3R				AMAZON_NA	Migrated Template	Inactive
Birthday Gifts for Women, Men - Best Friend Giftss for Women - Friendship Gifts for Women Friends, Sisters Gifts from Sister - Birthday Candles Gifts for Women, Best Friend, BFF - Lavender Candle 8oz		0813ZRKD64Y	DH-8E8Q-QY5F	25.54		2022-08-13 10:36:04 PDT		y	3			11				B0B6FX8JQW						850041250496				AMAZON_NA	Migrated Template	Inactive
