Reporting Range=["Monthly"],Select year=["2025"],Select month=["May"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Fathers Day Gift For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Him","B091F544N7","Apparel","169",,"15.98","1","11","70","1","0.59","15.98","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B092HNBJT6","Kitchen","171529",,"19.98","7871","106887","42216","2640","1.54","19.98","116","1685","631","605","19.98","31","416","126","189","3916.08","7.16",,"19.98","13","137","32","2025-05-31"
"NewEleven Fathers Day Gift For Grandpa From Granddaughter, Grandson - Birthday Present Ideas For Grandfather, New Grampa, Promoted To Grandfather, Grandchildren, Grandkid - 20 Oz Tumbler","B094CFGN42","Kitchen","17363",,"18.98","916","10244","4071","143","0.82","18.98","12","80","32","51","18.98","5","29","12","11","226.76","7.69",,"18.98","2","7","1","2025-05-31"
"NewEleven Retirement Gifts For Woman 2025 - Retired Gift For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S16WV3","Kitchen","7402",,"12.98","180","3739","2283","104","1.41","9.99","6","56","25","39","9.99","2","20","11","13","153.78","12.5",,"9.99","0","5","5","2025-05-31"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S1818R","Kitchen","8280",,"9.99","235","3768","2927","136","1.64","9.99","1","70","47","35","9.98","1","20","11","9","109.85","6.62",,"9.99","0","6","2","2025-05-31"
"NewEleven Gifts For Him, Men - Gift For Men, Women, Dad, Husband, Friend - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler","B0978WGWY4","Kitchen","74802",,"16.98","1248","32896","29649","770","1.03","16.98","9","341","322","180","16.98","1","85","72","41","756.45","5.32",,"16.98","0","24","14","2025-05-31"
"NewEleven Fathers Gift For Brother From Sister, Bro - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law - Funny Gag Gifts For Men - 20 Oz Tumbler","B09792XF8F","Kitchen","65677",,"19.98","4377","40551","13852","444","0.68","19.98","30","299","73","212","19.98","18","141","29","63","1252.98","14.19",,"19.98","4","43","10","2025-05-31"
"NewEleven Mothers Day Gifts For Mom From Daughter, Son, Kids - Unique Birthday Gift For Mom Wife, New Mother, Bonus Mama, Pregnant Mama - Funny Gifts Ideas For Mum - 20 Oz Tumbler","B097B9H21P","Kitchen","424345",,"21.98","39657","272710","75351","4387","1.03","19.98","405","2829","808","926","21.98","86","627","148","423","9347.12","9.64",,"22.98","42","282","71","2025-05-31"
"NewEleven Christmas Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gifts - Birthday Present Ideas For Father, Husband, New Dad, Bonus Dad From Daughter, Son - 20 Oz Tumbler","B097B9SY89","Kitchen","73083",,"13.98","8702","46930","10483","679","0.93","13.98","69","457","88","125","13.98","13","87","11","32","531.28","4.71",,"13.98","3","23","4","2025-05-31"
"NewEleven Fathers Day Gift For Uncle From Niece, Nephew - Funny Unkie Gift, Uncle Birthday Gifts - Best Present For New Uncles, Funcle, Unky Announcement - 20 Oz Tumbler","B097H6PJCN","Kitchen","29767",,"19.98","1085","17024","8314","227","0.76","19.98","9","128","61","116","19.98","3","65","33","32","649.34","14.1",,"19.98","1","16","12","2025-05-31"
